adamant,Middle English
adelie,Coast
affinity,Middle English
agama,borrowed from New Latin (Linnaeus)/Sanskrit
alderman,Middle English
alleviate,Late Latin
altruism,French
amentia,New Latin
amnesia,New Latin
ampere,André-Marie
amphictyony,Greek
analysis,New Latin
angst,Dan & German; Dan
animalcule,New Latin
animosity,Middle English
anvil,Middle English
apostasy,Middle English
apostrophe,Latin/French & Late Latin; French
aristocracy,Middle French & Late Latin; Middle French
asthenia,New Latin
auriphrygiate,modification (influenced by Latin
autopsy,Greek
azure,Middle English
babiche,Canadian French
babushka,Russian
bacteriophage,International Scientific Vocabulary
bahuvrihi,Sanskrit
balestra,Italian
balletomane,Russian
barabara,Russian dialect
barrage,French
bayou,Louisiana French
bechamel,French
berimbau,Brazilian Portuguese
bibliotaphic,French
borax,Middle English/origin unknown
bowery,Dutch
brouillon,French
budgerigar,modification of Yuwaalaraay (Australian aboriginal language of northern New South Wales)
calanque,French
capricorn,Middle English
caribou,Canadian French
carronade,Scotland
caryopsis,New Latin
castalia,New Latin
catkin,from its resemblance to a cat's tail
chastushka,Russian
chiliad,Late Latin
chrismon,Medieval Latin
chronology,New Latin
chrysophyte,ultimately from Greek
clementine,French
cobalt,German
cockatoo,Dutch
colocynth,Latin
confetti,Italian
consigliere,Italian
contiguous,Latin
contrapuntal,Italian
cossack,Polish & Ukrainian
courgette,French
credible,Middle English
cruller,Dutch
cryptoporticus,Latin
curriculum,New Latin
cynical,(see
daffodil,perhaps from Dutch
damson,Middle English
demiglace,French
devaloka,Sanskrit
diagnosis,New Latin
didactic,Greek
diesel,Rudolf
diplopia,New Latin
dragee,French
dungaree,Hindi
dysplasia,New Latin
elixir,Middle English
elytra,New Latin
endemic,French
enthalpy,+ Greek
epingle,French
epiphany,Middle English
ergonomic,+
eulogy,Middle English
eustacy,International Scientific Vocabulary
excise,obsolete Dutch/Latin
falbala,French
feldspar,modification of obsolete German
fennel,Middle English
flamboyant,French
flamenco,Spanish
fluviatile,Middle French
foliate,Latin
formidable,Middle English
frijolillo,American Spanish
furlong,Middle English
galapago,Spanish
gamboge,New Latin
gardenia,New Latin
gastronome,French
gazelle,French
geelhout,Afrikaans
gelilah,Hebrew
geoponics,Middle Greek
geothermal,International Scientific Vocabulary
gesamtkunstwerk,German
geta,Japanese
glossopetrae,New Latin
glyceraldehyde,ic acid +
guayabi,American Spanish
guenon,French
guilder,Middle English
haberdasher,Middle English
hacienda,Spanish
haiku,Japanese
hanuman,Hindi
hassock,Middle English
heliophilous,or
henna,Arabic
herbivore,New Latin
hibachi,Japanese
hieromonk,participle translation of Late Greek or Middle Greek
homiletic,Late Latin
homogeneous,Medieval Latin
homonym,Latin
hygiene,French
hyoscyamine,German
hyperpyrexia,New Latin
hypothesis,Greek
hypsometry,Greek
ideoplastic,International Scientific Vocabulary
igneous,Latin
implement,Middle English
inferno,Italian
ingenious,Middle English
interferon,+
jacaranda,New Latin
juvenilia,Latin
kasha,Russian
kente,Twi
klompen,Dutch
knish,Yiddish
kokopu,Maori
kudzu,Japanese
lacustrine,French or Italian
lasya,Sanskrit
lathyrism,New Latin
lauhala,Hawaiian
leotard,Jules
leporine,Latin
linden,Middle English
lithe,Middle English
llama,Spanish
lokelani,Hawaiian
longanimous,Late Latin
longiloquence,(as in
lyddite,England
macfarlane,prob from the name
macron,Greek
magnanimous,Latin
magnolia,New Latin
mahal,Arabic
maladroit,French
malaria,Italian
mamushi,Japanese
manicure,French
mappemonde,Middle English
mascarpone,Italian
matinee,French
melancholy,Middle English
mendelevium,New Latin
mesomorph,derm +
meticulous,Latin
minniebush,(irregular from Archibald
mirage,French
miso,Japanese
mizzle,Middle English/origin unknown
mohair,modification of obsolete Italian
mucedinous,from Latin
musicale,French
navicella,Medieval Latin
nebbish,Yiddish
nemesis,Latin
neoterism,Greek
nidulant,Latin
nightingale,Middle English
nimbostratus,New Latin
nockerl,German dialect (Austria)
nonagesimal,Latin
nsambya,native name in Uganda
obnebulate,+ Latin
octonocular,Latin
odori,Japanese
oenomel,Late Latin
ohelo,Hawaiian
oleiculture,French
olmec,Nahuatl
omnipotent,Middle English
omnivorous,Latin
oolong,Chinese (Xiamen)
oopuhue,Hawaiian
oratorio,Italian
oregano,American Spanish
orthodox,Middle English
pacifism,French
pangolin,Malay dialect
parfait,French
patina,Italian
patissier,French
perfidy,Latin
periscope,International Scientific Vocabulary
permian,former province in eastern Russia
persimmon,Virginia Algonquian
petunia,New Latin
phalanges,French
phenomenon,Late Latin
philologist,French
piccolo,Italian
pileus,New Latin
pirarucu,Portuguese
plantagenet,nickname of the family adopted as surname
plateau,French
polygon,Late Latin
postmortem,Latin
praline,French
prasine,Latin
prosaic,Late Latin
psychosomatic,International Scientific Vocabulary
pumpernickel,German
purga,Russian
quale,Latin
regatta,Italian
regime,French
renegade,Spanish
renvoi,French
rhetoric,Middle English
rhipiphorid,New Latin
rhopalocercous,(from Greek
ripicolous,from Latin
salmonella,New Latin
samaritan,Middle English
sambal,Malay/Tagalog
samurai,Japanese
scagliola,Italian
scenario,Italian
seriema,Tupi
sigatoka,from
simile,Middle English
sopapilla,American Spanish
sortition,Latin
souvenir,French
speleothem,(from Latin
sputnik,Russian
stomatitis,New Latin
strudel,German
sukiyaki,Japanese
symplectic,Greek
syncytium,New Latin
synergy,New Latin
synopsis,Late Latin
tarantella,Italian
tariff,Italian
tatbeb,French
temporal,Middle English/Middle French
tenaillon,French
tephra,New Latin
threshold,Middle English
topography,Middle English
tortoni,probably from
trajectory,New Latin
trionychid,New Latin
typhoon,alteration (influenced by Chinese — Guangdong —
umbratile,Latin
urushiol,International Scientific Vocabulary
vetturino,Italian
vigilante,Spanish
villeggiatura,from Italian
vulcanize,International Scientific Vocabulary
wanderlust,German
wanton,Middle English
wensleydale,from
wikiwiki,Hawaiian
wiseacre,Middle Dutch
xerogel,German
yamen,Chinese (Beijing)
yayoi,from
zabaglione,Italian
zamzummim,Hebrew
zelkova,New Latin
zenith,Middle English
